Doctor_English,Patient_Yoruba,Clinical_Translation_English,Direct_Translation_English
It's important to eat a balanced diet. What do you usually eat?,"Mo máa ń jẹ iṣu, àmàlà àti iresi. Ṣùgbọ́n mi ò fi bẹ́ẹ̀ jẹ ewébẹ̀.","I usually eat yam, amala, and rice. But I don't eat many vegetables.","I usually eat yam, amala and rice. But I not much eat vegetables."
"Good morning, what brings you to the hospital today?","Ẹ̀yín òwúró, dókítà. Ara kò dá mi dáadáa, inú mi ńrun, orí mi sì ńfọ́.","Good morning, doctor. I am not feeling well; I have abdominal pain and a headache.","You good morning, doctor. Body not good me well, inside my paining, head my also paining."
How long has your child had this rash?,"Ó ti bẹ̀rẹ̀ láti àná, àmọ́ kò ti rí bẹ́ẹ̀ púpọ̀ rí. Ó ti ń fín un gan-an báyìí.","It started yesterday, but it wasn't this widespread before. It's itching him intensely now.","It has started from yesterday, but it not yet seen so much before. It has been itching him very much now."
Are you able to sleep well at night?,"Rárá, Dọ́kítà. Èmi kò lè sùn dáadáa nítorí ìrora náà àti ìkọ́ gbígbẹ.","No, Doctor. I can't sleep well due to the pain and the dry cough.","No, Doctor. I not able sleep well because of pain the and cough dry."
Has your baby been crying more than usual?,"Bẹ́ẹ̀ni, ó ti ń kígbe láìdábọ̀ fún ọ̀pọ̀lọpọ̀ wákàtí báyìí.","Yes, he has been crying non-stop for many hours now.","Yes, he has been crying non-stop for many hours now."
How often do you exercise?,"Mò máa ń rìn díẹ̀ ní àárọ̀, ṣùgbọ́n kò pẹ́ tó bẹ́ẹ̀. Nǹkan bíi ìdajì wákàtí ni.","I usually walk a bit in the mornings, but not for too long. About half an hour.","I usually walk a little at morning, but not long enough that. Thing like half hour is."
Do you feel dizzy or lightheaded?,"Bẹ́ẹ̀ni, orí mi ń fì yíká, gbogbo ilẹ̀ sì ń yí mi lára.","Yes, my head is spinning, and everything feels like it's turning around me.","Yes, head my is shaking around, all ground and is turning me body."
"Is the bleeding heavy, and is there anything you've done to stop it?","Ó pọ̀ gan-an, mo ti di aṣọ mọ́ ọn, ṣùgbọ́n kò dáwọ́.","It is very heavy; I have tied a cloth on it, but it hasn't stopped.","It is much very, I have tied cloth to it, but it hasn't stopped."
We recommend surgery. Do you understand the risks involved?,"Bẹ́ẹ̀ni, mo lóye àwọn ewu tí ó wà pẹ̀lú iṣẹ́ abẹ́ náà.","Yes, I understand the risks involved with the surgery.","Yes, I understand the risks that is with work surgery the."
Have you experienced any chest pain?,"Bẹ́ẹ̀ni, àyà mi máa ń fun mí, ó sì máa ń dun mí díẹ̀ nígbà mííràn, pàápàá nígbà tí mo bá ń mí.","Yes, my chest usually feels tight, and it hurts a bit sometimes, especially when I breathe.","Yes, chest my usually presses me, it also usually hurts me a little sometimes, especially when I usually am breathing."
Do you have any concerns about your diet or food choices?,"Bẹ́ẹ̀ni, mo rò pé ohun tí mo ń jẹ kò dára tó fún ìlera mi mọ́.","Yes, I think what I'm eating isn't good enough for my health anymore.","Yes, I think that thing that I am eating not good enough for health my anymore."
Are you experiencing any shortness of breath?,"Bẹ́ẹ̀ni, Dókítà. Ó máa ń mí mí lára, pàápàá nígbà tí mo bá ń lọ sókè.","Yes, Doctor. I feel breathless, especially when I'm climbing stairs.","Yes, Doctor. It usually makes me breathless in-body, especially when I am going up."
How old is your child?,"Ọmọ mi jẹ́ ọdún méjì gbáko, ó sì ti ń rin káàkiri.","My child is exactly two years old, and he's already walking around.","My child is year two exactly, and he is walking around."
"How old is your child, and what are their symptoms?","Ọmọ mi jẹ́ ọdún méjì, ó sì ti ń hó kòkòrò ara àti ìgbẹ́ gbuuru fún ọjọ́ méjì.","My child is two years old, and has had a fever and diarrhea for two days.","Child my is year two, it also has been having fever body and stool loose for day two."
Are you experiencing any generalized body aches?,"Bẹ́ẹ̀ ni, gbogbo ara mi ló dùn mí. Ó ń ro mí gan-an.","Yes, my entire body aches. It is very painful.","Yes, all body my is it aches me. It is painful me very."
Have you noticed any blood in your stool or urine?,"Bẹ́ẹ̀ni, mo rí ẹ̀jẹ̀ nínú ìgbẹ́ mi lánàá, ó sì pọ̀ díẹ̀.","Yes, I saw blood in my stool yesterday, and it was quite a bit.","Yes, I saw blood within stool my yesterday, it also was much a little."
"Have you traveled recently, especially outside the country?","Bẹ́ẹ̀ni, mo lọ sí orílẹ̀-èdè Ghana ní oṣù méjì sẹ́yìn fún iṣẹ́.","Yes, I went to Ghana two months ago for work.","Yes, I went to country Ghana at month two ago for work."
Did you take any painkillers before coming here?,"Bẹ́ẹ̀ni, mo mu Párásítámọ́ọ̀lù kan, ṣùgbọ́n kò ṣiṣẹ́.","Yes, I took a Paracetamol, but it didn't work.","Yes, I drank Paracetamol one, but it not work."
Have you been vomiting?,"Bẹ́ẹ̀ni, mo ti bì tó ẹ̀ẹ̀mẹta lónìí, gbogbo oúnjẹ ló sì jáde.","Yes, I have vomited three times today, and I cannot keep any food down.","Yes, I have vomited about three times today, all food also came out."
How long have you been experiencing these symptoms?,Ó ti lé ní ọjọ́ mẹ́rin báyìí tí ara mi ti bẹ̀rẹ̀ sí í yàtọ̀.,It's been more than four days now since I started feeling unwell.,It has passed more than day four now that body my has started to differ.
What kind of pain are you experiencing in your abdomen?,"Ó ń rọ́ mi bí ọbẹ, níbẹ̀ ní àárín ikùn mi. Kì í jẹ́ kí n sun oorun.","It's a stabbing pain, right in the middle of my stomach. It doesn't let me sleep.","It is cutting me like knife, there at middle stomach my. It not let me sleep sleep."
When was your last menstrual period?,Ó ti tó oṣù méjì báyìí tí n kò tíì rí nkan oṣù mi. Mo rò pé ó lè jẹ́ oyún.,It has been about two months now since I last saw my period. I think it might be pregnancy.,It has been about two months now that I have not yet seen my period. I think it might be pregnancy.
Are you experiencing any difficulty breathing?,"Bẹ́ẹ̀ni, mími nira fún mi, mo sì máa ń gbọ́ igbe nínú àyà mi.","Yes, I have difficulty breathing, and I often hear wheezing in my chest.","Yes, breath difficult for me, I also usually hear scream in inside chest my."
"How would you rate your pain on a scale of 1 to 10, with 10 being the worst?",Ó tó méjọ sí mẹ́sàn-án. Ìrora náà púpọ̀ gan-an.,It's about an eight or a nine. The pain is very severe.,It is about eight to nine. Pain the much very.
We need to insert an IV line for fluids.,Àbẹ́rẹ́ ni yóò jẹ́? Ṣé kò ní kan mí níbi tí mo ti ń pọn lọ́wọ́ ni?,Will it be an injection? Will it not affect me where my hand is swollen?,Injection is it will be? Will it not touch me where I am swollen in hand is?
Are you feeling any numbness or tingling in your limbs?,"Bẹ́ẹ̀ni, ọwọ́ àti ẹsẹ̀ mi máa ń kan díẹ̀díẹ̀.","Yes, my hands and feet sometimes feel numb.","Yes, hand and leg my usually touch bit by bit (numb)."
Did you take any medications for these symptoms before coming here?,"Bẹ́ẹ̀ ni, mo mu àwọn oògùn ibà kan, ṣùgbọ́n wọn kò mú ìtura kankan wá fún mi.","Yes, I took some malaria medications, but they didn't bring me any relief.","Yes, I drank some malaria medicines, but they did not bring any relief to me."
"Is the rash itchy, painful, or neither?","Ó máa ń yọ mi gan-an, mi ò sì lè dúró láìfọwọ́ kàn án.","It is very itchy, and I can't resist touching it.","It tends to itch me very, I cannot also stay without touching it."
Do you feel dizzy or lightheaded?,"Bẹ́ẹ̀ni, orí mi ń fì, gbogbo ilẹ̀ sì ń yí mi ká.","Yes, my head is spinning, and everything around me is rotating.","Yes, head my is spinning, all ground also is turning me around."
Please follow the nurse; she will take him for immediate assessment.,"Eṣé púpọ̀, Dokita. Ẹ jọ̀wọ́, ẹ gbà á là fún mi.","Thank you very much, Doctor. Please, save him for me.","Thank you very much, Doctor. Please, you save him for me."
What kind of food do you usually eat?,"Mo máa ń jẹ iṣu, àmálà, àti iresi. Mi ò fi bẹ́ẹ̀ jẹ ewébẹ̀.","I usually eat yam, amala, and rice. I don't eat many vegetables.","I usually am eating yam, amala, and rice. I not really eat vegetables."
Are you experiencing any chest pain?,"Bẹ́ẹ̀ni, ọkàn mi máa ń fún mi nígbà mìíràn, bí ẹni pé wọ́n ń fún un.","Yes, my chest sometimes feels compressed, as if it's being squeezed.","Yes, heart my usually squeezes me sometimes, like person that they are squeezing it."
Did you fall or hit your head?,Rárá o. Kò sí ibi tí mo ti ṣubú. Lójijì ni orí mi bẹ̀rẹ̀ sí í dun mí.,No. I didn't fall anywhere. My head suddenly started aching.,No oh. No where that I fell. Suddenly is head my began to pain me.
Have you completed your child's vaccination schedule?,"Bẹ́ẹ̀ni, ó ti gba gbogbo àjẹsára rẹ̀ bí ẹ ti kọ ọ́ sílẹ̀ fún wa.","Yes, he has received all his vaccinations as you prescribed for us.","Yes, he has received all immunizations his as you wrote it down for us."
Do you have a history of asthma or any breathing problems?,"Bẹ́ẹ̀ni, wọ́n sọ pé mo ní àìsàn àìfẹ̀mí ràn láti ìgbà èwe mi, ṣùgbọ́n kì í sábà mú mi dáadáa mọ́.","Yes, I was told I had asthma since childhood, but it doesn't affect me much anymore.","Yes, they said that I have illness asthma from time childhood my, but it not usually take me well anymore."
"On a scale of 1 to 10, with 10 being the worst, how would you rate your headache?","Ó ti lé ní mẹ́jọ, ó ń lu mi ní orí gan-an.",It's over eight; it's a severe throbbing headache.,"It has exceeded in eight, it is hitting me in head very much."
Are you taking your medication as prescribed?,"Mo ń gbìyànjú láti mu wọ́n lójojúmọ́, ṣùgbọ́n mo máa ń gbàgbé nígbà míì nítorí iṣẹ́ mi.","I try to take them daily, but I sometimes forget because of my work.","I am trying to take them daily, but I usually forget sometimes because of my work."
Are you currently pregnant or breastfeeding?,"Bẹ́ẹ̀ ni, mo loyún. Ó fẹ́rẹ̀ẹ́ jẹ́ oṣù márùn-ún nísinsìnyí. Mo sì ń gbaradì fún ìbí ọmọ.","Yes, I am pregnant. It's almost five months now. And I am preparing for childbirth.","Yes it is, I am pregnant. It is almost month five now. I and am preparing for birth child."
When was your last menstrual period?,"Oṣù mi kẹ́hìn wáyé ní oṣù kẹta, ní ọjọ́ kẹẹ̀dógún.","My last period occurred in March, on the fifteenth.","Month my last happened in month third, on day fifteenth."
Has your child been more irritable or crying more than usual?,"Bẹ́ẹ̀ni, ó ń súnkún púpọ̀ láìnídìí, kò sì fẹ́ kó ẹnikẹ́ni tọ́ ọwọ́ sí i.","Yes, he's crying a lot for no reason, and he doesn't want anyone to touch him.","Yes, he is crying much without reason, not and wanting anyone to touch hand to him."
"Yes, with proper treatment, it should clear up soon. Please avoid that soap.","Mo gbọ́, dòkítà. Ǹgbàwo ni mo lè padà wá fún àyẹ̀wò mìíràn?","I understand, doctor. When can I return for another check-up?","I hear, doctor. When is I can return come for check-up another?"
Where exactly do you feel the pain?,"Oríkẹ̀ẹ̀kẹ̀ mi ni ó ń dún, ó sì gba gbogbo àyà mi.","My chest is hurting, and the pain is spreading across my entire chest.","Chest my it is it is hurting, it also takes all chest my."
Are you experiencing any unusual symptoms during your pregnancy?,"Mo ń gbọ̀n púpọ̀, ó sì ń bí mi nínú nígbà gbogbo.","I am feeling very dizzy, and I constantly feel nauseated.","I am swaying much, it also is giving me inside at time all."
Do you have a history of kidney problems in your family?,"Bẹ́ẹ̀ ni, bàbá mi ní àìsàn kídìní.","Yes, my father had kidney disease.","Yes, father my had sickness kidney."
Is your child eating and drinking normally?,"Rárá o, kò jẹun tó, kò sì mu omi tó bí i ti tẹ́lẹ̀.","No, he's not eating enough, and he's not drinking enough water as before.","No oh, he not eat enough, he not drink water enough like of before."
Where exactly do you feel the pain?,"Ìrora náà wà ní abẹ́ inú mi, ó sì ń tàn káàkiri sí ẹ̀gbẹ́ mi.",The pain is in my lower abdomen and it is radiating to my side.,"Pain the is at under stomach my, it also is spreading around to side my."
"Have you noticed any changes in your skin, like rashes or discoloration?","Bẹ́ẹ̀ni, àwọ̀ ara mi ti yípadà díẹ̀, ó sì ń yún mí ní ibi kan.","Yes, my skin color has changed a bit, and it's itchy in one spot.","Yes, color body my has changed a bit, it also is itching me in place one."
Have you noticed any changes in your bowel movements?,"Bẹ́ẹ̀ni, ìgbẹ́ mi ti gbẹ púpọ̀, kò sì fi bẹ́ẹ̀ jáde dáadáa fún ọjọ́ púpọ̀ báyìí.","Yes, my stool has been very hard, and it hasn't been coming out properly for many days now.","Yes, my stool has dried much, it also did not really come out well for day many now."
Are you experiencing any numbness or tingling sensations?,"Bẹ́ẹ̀ ni, apá ọwọ́ mi òsì àti ẹsẹ̀ mi òsì a máa wú lẹ́ẹ̀kọ̀ọ̀kan, ó sì máa ń dọ̀lọ̀lọ̀.","Yes, my left arm and left leg occasionally swell, and they feel tingly.","Yes, arm hand my left and leg my left usually swell occasionally, it also usually tingly."
Is the diarrhoea watery or does it have any blood in it?,"Omi ló pọ̀ nínú rẹ̀, kò sì sí ẹ̀jẹ̀.","It's mostly watery, and there's no blood.","Water is much in it, not and is blood."
We need your consent for this surgical procedure. Do you have any questions?,"Dókítà, ǹjẹ́ àìlera mi yóò yá lẹ́yìn iṣẹ́ abẹ yìí dáadáa?","Doctor, will my condition improve significantly after this surgery?","Doctor, will illness my be well after work cut this well?"
Does the pain get worse with movement?,"Bẹ́ẹ̀ni, Dókítà. Bí mo bá gbé nǹkan tàbí tí mo bá rìn, ó máa ń dun mi lára púpọ̀.","Yes, Doctor. If I lift something or if I walk, it pains me a lot.","Yes, Doctor. If I lift something or if I walk, it usually pains me in body very much."
Are you experiencing any chest pain?,"Ìrora àyà ti ń rọ mí, ó sì máa ń lágbára nígbà tí mo bá mí.","I have chest pain, and it intensifies when I breathe.","Pain chest has been aching me, it and usually is strong when I if breathe."
Is your child unusually irritable?,"Ọmọ náà ń sunkún léraléra láìsí ìdí, kò sì fẹ́ tàgbé.",The child is crying repeatedly without reason and doesn't want to be carried.,"The child is crying repeatedly without reason, and does not want to be carried."
Is there a possibility you ingested something harmful?,"Rárá o, kò sí ohun tí mo mọ̀ tó lè ṣe mí lára tí mo jẹ.","No, I'm not aware of eating anything harmful.","No, there is no thing that I know that can do me on body that I ate."
Your baby seems to have a fever and is very irritable.,Ó kọ̀ láti mu wàrà. Ó sì ń sunkún láìdáwọ́dúrò.,He has refused to drink milk. And he is crying nonstop.,He refused to drink milk. He also is crying without stopping.
We'll review your test results next week.,Ọjọ́ wo ni kí n padà wá fún àbádeyelé àwọn àyẹ̀wò mi?,What day should I return for my test results?,Day what is that I return come for results the tests my?
How far along are you in your pregnancy?,"Mo ti wá fún ìtọ́jú oyún mi, oṣù mẹ́fà sì ti kọjá.","I have come for the care of my pregnancy, and six months have passed.","I have come for care pregnancy my, months six have passed."
Do you feel any pain or burning sensation when you urinate?,"Bẹ́ẹ̀ni, ó máa ńsun mi lára gan-an nígbà tí mo bá ńtọ̀.","Yes, it burns me a lot when I urinate.","Yes, it usually burns me body very much when I am urinating."
Are you feeling any shortness of breath?,"Bẹ́ẹ̀ni, ó máa ń fún mi ní ọ̀fun, tí mími mi ò sì fi bẹ́ẹ̀ lọ dáadáa.","Yes, I feel a constriction in my throat, and my breathing isn't very smooth.","Yes, it always squeezes me at throat, that breathing my not so much go well."
Have you noticed any blood in your stool?,"Bẹ́ẹ̀ni, mo rí ẹ̀jẹ̀ pẹ̀lú ìgbẹ́ mi lẹ́ẹ̀kan ṣoṣo ní òwúrọ̀ yìí.","Yes, I saw blood with my stool once this morning.","Yes, I saw blood with stool my once in morning this."
Where exactly is the pain located?,"Ó wà ní ìhà òsì ikùn mi, ó sì tàn dé ẹ̀yìn.","It's on the left side of my abdomen, and it spreads to my back.","It is in side left abdomen my, it also spreads reach back."
Are you taking any traditional herbs or remedies for your condition?,"Bẹ́ẹ̀ni, mo ń mu omi ewé kan láti ilé, àmọ́ kò fi bẹ́ẹ̀ ràn mí lọ́wọ́.","Yes, I am drinking some herbal concoction from home, but it hasn't really helped me.","Yes, I am drinking water leaf one from home, but it not so much helped me."
How many months pregnant are you?,"Mo ti lóyún fún oṣù mẹ́fà báyìí, mo sì ń retí ọmọ mi àkọ́kọ́.","I am six months pregnant now, and I'm expecting my first child.","I have been pregnant for months six now, I also am expecting my child first."
When was your last blood sugar check?,"Ó ti pẹ́ díẹ̀, Dọ́kítà, mo gbọ́dọ̀ ti ṣèṣe àyẹ̀wò mìíràn láti bí oṣù méjì sẹ́yìn.","It's been a while, Doctor, I should have had another check-up about two months ago.","It has been long a little, Doctor, I must have done test another since about month two behind."
Have you had any recent injuries or falls?,"Bẹ́ẹ̀ni, mo ṣubú ní ọjọ́ méjì sẹ́yìn, orí mi sì lu ilẹ̀ díẹ̀.","Yes, I fell two days ago, and my head hit the ground slightly.","Yes, I fell in day two ago, head my also hit ground slightly."
Are you feeling dizzy or lightheaded when you stand up?,"Bẹ́ẹ̀ni, òyì máa ń kọ mí lójú, bíi pé mo fẹ́ ṣubú nígbà tí mo bá dìde.","Yes, I feel dizzy, like I'm about to fall when I stand up.","Yes, dizziness usually strikes me in-eye, like I want to fall when I stand up."
We need to do some blood tests. Is that okay?,"Bẹ́ẹ̀ni, Dókítà, kò sí ìṣòro. Mo gbọ́ pé ó ṣe pàtàkì fún ìwòsàn mi.","Yes, Doctor, no problem. I understand it's important for my recovery.","Yes, Doctor, not is problem. I understand that it is important for healing my."
Is your child eating properly?,"Rárá, kò fẹ́ jẹun dáadáa. Ó kàn ń mu omi díẹ̀, ó sì ń sùn púpọ̀.","No, he doesn't want to eat properly. He just drinks a little water and sleeps a lot.","No, he not wants to eat well. He just is drinking water a little, he and is sleeping much."
Your relative collapsed. Can you tell me what you saw before it happened?,"Ó ń sọ̀rọ̀ pẹ̀lú mi ni, lójijì ni ó wá dákú. Kò sí ohun kankan tó ṣẹlẹ̀ ṣáájú.","He was talking with me, then suddenly he collapsed. Nothing happened before that.","He was talking with me is, suddenly is he came collapsed. There was no thing anything that happened before."
"Good morning, what brings you to the hospital today?","Ojóire, dókítà. Orí mi ń fọ mí gan-an, mo sì ń gbóná.","Good morning, doctor. I have a severe headache and a fever.","Good morning, doctor. Head my is paining me very much, I also am hot."
How many tablets of this medication do you take per day?,"Mo máa ń mu egbòogi méjì lójúmọ́, ìkan ní òwúrọ̀ àti ìkan ní alẹ́.","I usually take two tablets daily, one in the morning and one at night.","I usually take medicine two daily, one in morning and one in night."
Do you smoke or drink alcohol?,"Rárá, Dókítà. Mi ò mu sìgá, mi ò sì mu ọtí rárá láyé mi.","No, Doctor. I don't smoke, and I don't drink alcohol at all in my life.","No, Doctor. I not drink cigarette, I not and drink alcohol at all in life my."
Do you feel any dizziness or lightheadedness?,"Bẹ́ẹ̀ni, tí mo bá dìde láti jókòó, ojú ń yí mi ká, ó máa ń kọ mí lára.","Yes, when I stand up from sitting, my vision spins, it usually makes me dizzy.","Yes, if I stand up from sit, eyes are spinning me around, it usually makes me dizzy."
Are you pregnant or could you be pregnant?,"Bẹ́ẹ̀ni, Dọ́kítà. Mo lóyún báyìí, oṣù karùn-ún sì ni.","Yes, Doctor. I am pregnant now, and I am five months along.","Yes, Doctor. I have pregnancy now, month fifth also is."
Are you currently breastfeeding your baby?,"Bẹ́ẹ̀ni, mo fún un lọ́mú. Ọmọ náà sì ń gba mí mú dáadáa.","Yes, I am breastfeeding him. The baby is latching well.","Yes, I am giving him breast. Child the also is latching me breast well."
Good morning. What brings you to the hospital today?,"Ẹ káàrọ́, Dókítà. Orí mi ń fọ́ mí lọ́pọ̀lọpọ̀, ó sì ti bẹ̀rẹ̀ láti àná.","Good morning, Doctor. I have a severe headache, which started yesterday.","Good morning, Doctor. Head my is paining me very much, it has started since yesterday."
Has your child had all their vaccinations?,"Bẹ́ẹ̀ni, mo ti mú un lọ sí gbogbo àwọn abẹ́rẹ́ àjẹsára rẹ̀ tó yẹ.","Yes, I have taken him for all his required vaccinations.","Yes, I have taken him to all the injections vaccinations his that are suitable."
Can you point to exactly where you feel the pain?,"Ó wà ní ìhà ọ̀tún ikùn mi, ó sì máa ń dé ibi àyà mi nígbà míì.","It's on the right side of my abdomen, and sometimes it extends to my chest.","It is at side right of stomach my, it also always reach place chest my sometimes."
Do you have any pain or sensitivity in your teeth or gums?,"Bẹ́ẹ̀ni, eyín mi kan ń dun mí gan-an. Ó ti ya.","Yes, one of my teeth is hurting me a lot. It's broken.","Yes, tooth my one is hurting me very much. It has broken."
Have you missed your period?,Bẹ́ẹ̀ni. Ó ti lé ní oṣù méjì báyìí tí n kò ti rí nkan oṣù mi. Ó yẹ kí n wà ní oyún báyìí.,Yes. It has been over two months now since I saw my period. I should be pregnant now.,Yes. It has passed two months now that I have not seen my monthly thing. It is proper that I am pregnant now.
Are you having any difficulty hearing?,"Etí mi ń dún, mo sì gbọ́ bí ìró kíkì, tí kò sì jẹ́ kí n gbọ́ràn dáadáa.","My ear is ringing, I hear a buzzing sound, which prevents me from hearing properly.","Ear my is ringing, I also hear as sound buzzing, that not also cause that I hear well."
Have you ever had a blood transfusion?,"Rárá, mi ò tíì gba ẹ̀jẹ̀ rí láyé mi.","No, I've never received a blood transfusion in my life.","No, I not yet received blood ever in my life."
Is your child's urine output normal?,"Kò tọ̀ dáadáa. Ó kéré púpọ̀ sí bí ó ṣe máa ń tọ̀ tẹ́lẹ̀, ó sì máa ń sùn púpọ̀ jù.","He's not urinating well. It's much less than he used to, and he sleeps too much.","Not urinates well. It small much more than how he always urinates before, he also always sleeps much too."
How would you rate your pain on a scale of 1 to 10?,"Mo rò pé ó jẹ́ méje tàbí mẹ́jọ, ó dùn mí gan-an.","I think it's a seven or eight, it's very painful.","I think that it is seven or eight, it hurts me very much."
Is there any pus or discharge from the wound?,"Bẹ́ẹ̀ni, ó ń yọ̀ nígbà gbogbo, ó sì ní àwọ̀ ewéko àti òórùn búburú.","Yes, it's constantly oozing, and it has a greenish color and a bad smell.","Yes, it is oozing always, it also has color green and smell bad."
"Yes, we'll try to get them as soon as possible. Do you have regular menstrual cycles?","Bẹ́ẹ̀ni, ó máa ń wá ní oṣù kọ̀ọ̀kan, bóyá ó máa ń pẹ́ díẹ̀ nígbà míì.","Yes, it usually comes every month, though it might be slightly delayed sometimes.","Yes, it usually comes in month each, maybe it usually delays a-little sometimes."
"Are you still having difficulty breathing, even when resting?","Bẹ́ẹ̀ni, tí mo bá tiẹ̀ jókòó lásán, mímí máa ń ṣòro fún mi, mo sì máa ń lágbára.","Yes, even if I just sit down, breathing becomes difficult for me, and I struggle.","Yes, if I even sit down just, breathing usually difficult for me, I also usually struggle."
Are you having any difficulty sleeping at night?,"Bẹ́ẹ̀ni, orun kò gbà mí, mo máa ń fi gbogbo òru ròran, kò sì sí ìfọkànbalẹ̀ kankan.","Yes, I can't sleep; I stay awake all night, and there's no peace at all.","Yes, sleep not accept me, I usually spend all night thinking, no peace at all."
Good morning. What seems to be the problem?,"Dókítà, orí mi fọ́ gan-an, gbogbo ara mi sì rọ pẹ̀lú ibà líle.","Doctor, I have a severe headache, and my whole body aches with a high fever.","Doctor, head my pain very much, all body my and weak with fever strong."
Do you feel more tired than usual?,"Bẹ́ẹ̀ni, ó rẹ̀ mí gan-an, mi ò sì ní agbára láti ṣe nǹkan kankan.","Yes, I am very fatigued and lack the energy to do anything.","Yes, it tires me very much, I not and have strength to do anything anything."
Have you noticed any changes in your bowel habits?,"Bẹ́ẹ̀ni, ìgbẹ́ mi ti yí pa dà, ó ti di lílọ tàbí lile.","Yes, my stool has changed, it's become either loose or hard.","Yes, stool my has changed, it has become going or hard."
"How severe is your menstrual pain, and does it interfere with your daily activities?","Ó le koko gan-an, ó sì máa ń mú mi dùbúlẹ̀ fún ọjọ́ kan tàbí méjì. Mi ò lè lọ sí ibi iṣẹ́.","It's very severe, and it makes me lie down for one or two days. I can't go to work.","It hard hard very much, it also usually makes me lie down for days one or two. I not can go to place work."
Have you noticed any unintentional weight loss or gain recently?,"Mo ti rùn gan-an láìsí ìdí, mo sì ti dẹ́rù tẹ́lẹ̀.","I have lost a lot of weight unexpectedly, and I was already thin before.","I have become lean very much without reason, I also have been light before."
Did you lose consciousness at any point?,"Bẹ́ẹ̀ni, mo rò pé mo kú fún ìṣẹ́jú díẹ̀ ṣáájú kí n tó jí padà.","Yes, I think I was unconscious for a few minutes before I woke up.","Yes, I thought I died for minutes a few before I woke up back."
Are you experiencing any hair loss or changes in your skin?,"Bẹ́ẹ̀ ni, irun mi ń já púpọ̀, awọ ara mi sì gbẹ.","Yes, I'm losing a lot of hair, and my skin is dry.","Yes, hair my is breaking much, skin body my also dry."
"Are you experiencing diarrhoea, and what is its consistency?","Bẹ́ẹ̀ni, ìgbẹ́ ríro ń gbóná mi lẹ́yìn fún ìgbà márùn-ún lónìí, ó sì rí bí omi.","Yes, I've had watery diarrhoea five times today.","Yes, watery stool is burning my anus for five times today, and it looks like water."
Do you have any allergies to medications?,"Bẹ́ẹ̀ ni, tí mo bá ti lo Ampicillin, ara mi máa ń yún mi gan-an.","Yes, if I use Ampicillin, my body usually itches me very much.","Yes, if I use Ampicillin, body my usually is itching me very much."
Are you experiencing any shortness of breath?,"Bẹ́ẹ̀ni, ó máa ń ṣòro fún mi láti mí lákòókò. Bí ẹni pé èémí mi kùn díẹ̀.","Yes, I often find it difficult to breathe. It feels like my breath is shallow.","Yes, it usually is difficult for me to breathe sometimes. Like someone that breath my decreased a little."
How many times have you had loose stools today?,Mo ti lọ ìgbẹ́ gbuuru tó nǹkan bí márùn-ún sí mẹ́fà lónìí.,I've had loose stools about five to six times today.,I have gone stool soft about something like five to six today.
Your child seems to have food poisoning. What did they eat recently?,"Ó jẹ Amala pẹ̀lú ewédú ní alẹ́ àná, kò sì jẹ nǹkan mìíràn lónìí.","He ate Amala with ewedu last night, and hasn't eaten anything else today.","He ate Amala with ewedu at night yesterday, not also ate anything else today."
We need to perform a small surgical procedure to remove this growth. Do you understand?,"Bẹ́ẹ̀ ni, Dókítà. Mo gbọ́. Ṣùgbọ́n, ṣé ó léwu bí?","Yes, Doctor. I understand. But, is it dangerous?","Yes, Doctor. I hear. But, is it dangerous?"
What kind of foods do you typically eat in a day?,"Èmi máa ń jẹ iṣu, iṣu àgbàdo, àti àgbo díẹ̀. Mo fẹ́ràn láti jẹ iyán àti ẹbà pẹ̀lú ọbẹ̀.","I typically eat yam, corn yam (maize porridge), and some herbs. I like to eat pounded yam and eba with soup.","I usually am eating yam, yam maize, and herbs some. I like to eat pounded yam and eba with soup."
What did you eat before you started feeling unwell?,Mo jẹ Akpu pẹ̀lú ọbẹ̀ ewédú ní alẹ́ àná.,I ate Akpu with Ewedu soup last night.,I ate Akpu with soup Ewedu last night.
How far along are you in your pregnancy?,"Ó ti tó oṣù mẹ́fà báyìí, mo sì ń retí ọmọ mi àkọ́kọ́.","I'm about six months pregnant now, and I'm expecting my first child.","It has reached month six now, I also doing expect child my first."
Is the vomiting accompanied by nausea?,"Bẹ́ẹ̀ni, Dókítà. Nígbàkugbà tí mo bá fẹ́ bì, orí mi máa ń fì yíyẹ́.","Yes, Doctor. Whenever I'm about to vomit, I feel very nauseous.","Yes, Doctor. Whenever I will want to vomit, head my usually shakes with sickness."
Are you experiencing any swelling in your legs or ankles?,"Bẹ́ẹ̀ni, ẹsẹ̀ mi wú, ó sì ma ń dùn mí nígbà míì.","Yes, my legs are swollen, and they sometimes hurt.","Yes, leg my swelled, it also usually aches me sometimes."
How often do you feel the urge to urinate?,"Ó máa ń gbà mí lọ sí ilé ìgbọ̀nsẹ̀ léraléra, pàápàá ní òru.","It usually makes me go to the toilet repeatedly, especially at night.","It usually is taking me to house toilet repeatedly, especially in night."
How is your appetite? Are you eating well?,"Kò sí ìfẹ́ sí oúnjẹ rárá, gbogbo ohun tí mo bá rí ni ó máa ń mú mi bínú.","I have no appetite at all, everything I see makes me feel nauseous.","No is desire for food at-all, all things that I if see is it usually makes me angry (sick)."
