Doctor_English,Patient_Yoruba,Clinical_Translation_English,diacritic_risk
"Does the child frequently complain of growing pains at night in their legs, and does rubbing help?","Ọmọ mi máa ń ji ní alẹ́ ó ń sọkún pé ẹsẹ̀ rẹ̀ ń dùn. Nígbà tí mo bá fọwọ́ pa ẹsẹ̀ rẹ̀, ó máa ń dára. Ko ń wáyé ní ọ̀sán.","Bilateral nocturnal leg pain relieved by massage in a school-aged child without daytime symptoms, consistent with benign growing pains, but requiring clinical assessment to exclude leukaemia, juvenile arthritis, or stress fracture before this diagnosis is accepted.",LOW
"Have you noticed any slurring of your speech, or have people told you they cannot understand you?",Àwọn ọmọ mi sọ pé ọ̀rọ̀ mi ti di àìgbọ́. Mo máa ń gbìyànjú láti sọ ọ̀rọ̀ ṣùgbọ́n kò jáde dáradára.,"Reported dysarthria with effortful and unintelligible speech noted by family, raising concern for a cerebrovascular event, motor neurone disease, or cerebellar pathology.",LOW
"Has the child had any seizures with fever before, and were they told it might happen again?",Ọmọ mi gbọn nígbà tí ibà rẹ̀ ga ní ọjọ́-orí ọdún kan àbọ̀. Dọ́kítà sọ pé ó lè ṣẹlẹ̀ lẹ́ẹ̀kan sí i ṣùgbọ́n kò sọ ohun kó ṣe.,"Prior simple febrile seizure with parental counselling on recurrence risk but no documented guidance on fever management or emergency response, requiring education on febrile seizure first aid and the circumstances warranting emergency attendance.",LOW
"Has your child had any joint swelling, rash on the cheeks, and fever at the same time?","Ọmọ mi ní ìbà, àpá pupa kan lórí ẹrẹ̀kẹ́ méjèéjì bíi ẹni tí apoké fẹ̀ẹ́ pa a, àti wiwú ní ìpín ọwọ́ rẹ̀.","The triad of fever, malar rash with butterfly distribution, and joint swelling in a child, consistent with systemic juvenile idiopathic arthritis or systemic lupus erythematosus, requiring ANA, anti-dsDNA, and complement levels.",LOW
"Have you been losing weight and feeling full very quickly, associated with upper abdominal discomfort?","Mo ń yó ní ìbẹ̀rẹ̀ jíjẹun, àti irora kéékèéké wà ní àárín ikùn mi. Mo ti tẹ̀nìí ní oṣù mẹ́fà láìgbìyànjú.","Early satiety, epigastric discomfort, and unintentional weight loss over six months constituting alarm symptoms for gastric carcinoma or linitis plastica, requiring urgent upper endoscopy with multiple biopsies and CT staging.",LOW
"Does the joint pain last all day without any variation, or does it improve as you move around?",Irora ìpín mi wà fún gbogbo ọjọ́ láìyẹ̀ rárá. Ìgbésẹ̀ kò ṣe ìyàtọ̀. Ó ń burú ní alẹ́ àti ní àárọ̀.,"Constant joint pain without diurnal variation and nocturnal worsening, a pattern more consistent with inflammatory or malignant joint disease rather than mechanical pain which typically improves with rest and worsens with activity.",LOW
"Have you had your immunisations updated as an adult, particularly for flu or pneumococcal disease?",Mi ò gba àjesara agbalagba kankan rí. Mi ò mọ̀ pé àwọn agbalagba nílò àjesara. Ibà ń jẹ mi ní gbogbo ọdún.,"No adult immunisation history with annual influenza illness, indicating missed annual influenza vaccination and one-time pneumococcal vaccination eligibility, particularly important in patients with diabetes, chronic lung or heart disease, or over sixty-five years.",LOW
"Have you been told your test result is abnormal and been referred somewhere, but you have not gone yet?",Wọ́n fún mi ní lẹ́tà ìtọ́ka sí ìwé ọpọlọ ní ọdún kan sẹ́yìn. Mi ò lọ rárá. Mo gbà pé yóò dára fúnra rẹ̀.,"Unfollowed psychiatric referral one year ago for an abnormal result, representing a significant care gap where the underlying condition has been unmanaged, requiring understanding of the barriers to attendance and facilitated re-referral with support.",LOW
Have you noticed any bluish discolouration around your lips or at the tips of your fingers?,Ète mi àti orí ìlà ọwọ́ mi ti di bíi àwọ̀ búlúù díẹ̀. Ọmọ mi ni ó kọ́kọ́ ríi tó sì mú mi wá.,"Central and peripheral cyanosis noted by the patient's child, indicating significant arterial oxygen desaturation requiring immediate pulse oximetry, arterial blood gas analysis, and supplemental oxygen therapy.",LOW
"When did you first notice the swelling in your leg, and was there any injury or long journey before it started?",Ẹsẹ̀ mi bẹ̀rẹ̀ sí wú lẹ́yìn ìrìn-àjò gígùn ní ọkọ̀ ayọ́kẹ́lẹ́ fún wákàtí mẹ́jọ. Mo kò dìde rárá ní ìrìn àjò yẹn.,Unilateral leg swelling following prolonged immobility during an eight-hour road journey. Deep vein thrombosis must be urgently excluded given the clinical context.,LOW
"Have you noticed any unexplained weight gain, especially around your abdomen, along with stretch marks?",Mo ti pọ̀ sí i ní ìwọ̀ ara ní oṣù mẹ́fà pẹ̀lú ọgbẹ́ aṣọ ní ikùn àti ìdí. Ojú mi tún ti yípo.,"Central obesity with abdominal striae and facial rounding over six months, raising concern for Cushing's syndrome secondary to glucocorticoid excess, whether exogenous or endogenous.",LOW
Have you been feeling that your thoughts are being controlled by an outside force or broadcast to others?,"Ní ìgbà-ìgbà, mo gbà gbọ́ pé ẹnì kan ń fi agbára rẹ̀ ṣakóso ìrọ̀lẹ́ mi. Mo tún gbà pé àwọn ènìyàn mìíràn lè gbọ́ ohun tí mo ń rò.","First rank symptoms of schizophrenia comprising thought insertion and thought broadcasting, pathognomonic of a primary psychotic disorder requiring urgent psychiatric assessment, risk evaluation, and initiation of antipsychotic therapy.",LOW
"Have you been taking any pain medication that contains codeine, and how often?","Mo ń mu oògùn irora tó ní codeine ní ọjọ́-ọjọ́ fún oṣù mẹ́fà. Mi ò lè dáwọ̀ rárá. Nígbà tí mo gbìyànjú, inú mi ń ṣòro.","Daily codeine use for six months with physical dependence and inability to discontinue, indicating opioid dependence requiring structured tapering programme and pain specialist review for alternative analgesia.",LOW
"Do you feel an urgent need to urinate that is difficult to control, and do you sometimes not make it in time?",Mo máa ń fẹ ito lójijì tó ń jẹ́ kí n máà lè dúró. Mo ti ṣe ito nínú aṣọ mi lẹ́ẹ̀mejì ní ọ̀sẹ̀ tí ó kọjá.,"Urinary urgency with urge incontinence on two occasions in the preceding week, consistent with overactive bladder syndrome or detrusor overactivity, requiring urodynamic assessment.",LOW
"Have you signed a consent form for this procedure, and do you fully understand what is going to happen?",Wọ́n fún mi ní fọ́ọ̀mù kan láti fọwọ́ sí. Mo fọwọ́ sí i ṣùgbọ́n mi ò kà á nítorí ọ̀rọ̀ Gẹ̀ẹ́sì ṣòro fún mi. Mi ò tíì béèrè ìbéèrè kankan.,"Consent obtained without adequate comprehension due to language barrier and health literacy limitation, constituting invalid informed consent and requiring a Yoruba-language explanation of the procedure, risks, benefits, and alternatives before proceeding.",LOW
"Have you had any imaging done recently such as an MRI, CT scan, or ultrasound, and have you been given the results?",A ṣe CT ìdánwò fún mi ní oṣù méjì sẹ́yìn. Wọ́n sọ pé a máa ń sọ àbájáde fún mi ṣùgbọ́n kò sí ẹni tó pè mi. Mo ń dúró àti ń yọ̀.,"Unreported CT scan result two months after imaging with the patient waiting anxiously, constituting a significant duty of care breach requiring immediate result disclosure, apology for the delay, and a clear plan for any further investigation or management required.",LOW
"Do you get any swelling of your face, lips, or throat after taking your blood pressure tablet?","Lẹ́yìn tí mo bẹ̀rẹ̀ oògùn ìpàná ẹjẹ̀ tuntun, ète mi àti ọfun mi máa ń wú ní ìgbà-ìgbà. Mo bẹ̀rù ìgbà náà.","ACE inhibitor-induced angioedema with recurrent pharyngeal and labial swelling, a potentially life-threatening adverse drug reaction mandating immediate drug cessation, substitution with an ARB, and prescription of an adrenaline auto-injector pending allergy review.",LOW
"Has the child had any rash, joint pains, or episodes of vomiting alongside the fever?","Bẹ́ẹ̀ ni, ọmọ mi ní àárẹ̀ ara àti ìgbagbe oúnjẹ. Ó ti ègbọn lẹ́ẹ̀mejì ní òní.","Pyrexia with associated malaise, anorexia, and two episodes of emesis noted on the day of presentation.",LOW
Has the problem been there so long that you have started to accept it as normal for you?,Mo ti ń gbà pé orí fífọ̀ jẹ́ ara ìgbé ayé mi fún ọdún mẹ́wàá. Mi ò mọ̀ pé ó yẹ ki n wá ìrànlọ́wọ́ fun rẹ̀.,"Normalisation of a ten-year chronic symptom with delayed health-seeking behaviour, a pattern that delays diagnosis and allows progressive organ damage in conditions such as chronic hypertension, diabetes, and inflammatory disease, requiring active systematic re-evaluation.",LOW
How severe is the ear pain — is it affecting your ability to hear on that side?,"Etí mi ń dùn gan-an, ní apá òsì. Gbígbọ́ mi di àìtó ní etí yẹn fún ọjọ́ mẹ́rin.","Severe left-sided otalgia with ipsilateral hearing impairment over four days, suggestive of acute otitis media or external ear pathology.",LOW
Have you been having pain and stiffness in your hips and shoulders that is worse after rest?,Ìbàdí mi àti èjìká mi máa ń dùn àti jáko lẹ́yìn ìsùn. Ó máa ń yẹ̀ lẹ́yìn wákàtí kan tàbí méjì ti ìgbésẹ̀.,"Bilateral shoulder and hip girdle pain with prolonged morning stiffness improving with activity in a patient over fifty, the characteristic presentation of polymyalgia rheumatica requiring ESR, CRP, and trial of low-dose corticosteroid.",LOW
"Is the abdominal tenderness in the upper middle, right upper, or lower right area of the abdomen?","Nígbà tí dọ́kítà bá tẹ ìsàlẹ̀ àyà mi ní àárín, irora ń wáyé lẹ́sẹ̀kẹsẹ̀. Ó kò dùn ní ẹ̀gbẹ́ tàbí ìsàlẹ̀.","Epigastric tenderness on deep palpation without lateral or lower quadrant involvement, consistent with gastric or duodenal pathology, pancreatitis, or hepatitis, guiding toward upper endoscopy, amylase, lipase, and liver function testing.",LOW
"Did the patient's face droop suddenly on one side, and can they raise both arms equally?","Ẹ̀gbẹ́ òsì ojú rẹ̀ rọ lójijì ní àárọ̀. Ó kò lè gbé apá òsì rẹ̀ gaju, ó sì ń sọ ọ̀rọ̀ díẹ̀díẹ̀.","Acute facial droop, arm weakness, and speech disturbance — the FAST triad of acute ischaemic stroke — with onset this morning, requiring immediate stroke unit activation, CT angiography, and thrombolysis eligibility assessment.",LOW
"Have you ever had any teeth removed, and did you have any complications such as prolonged bleeding?","A yọ eyín mi mẹ́rin ní ìgbà tí mo jẹ́ ọ̀dọ́. Lẹ́yìn ọ̀kan nínú rẹ̀, ẹjẹ̀ ń jáde fún ọjọ́ méjì tí kò dúró.","Post-extraction haemorrhage lasting two days following one of four previous dental extractions, suggesting an underlying coagulation disorder or platelet dysfunction that should be investigated before any planned dental or surgical procedure.",LOW
"Have you been having any difficulty controlling your bowels, leading to leakage or soiling?","Ní oṣù mẹ́fà, ìgbẹ́ máa ń jáde láìsí ìfẹ́ mi ní ìgbà-ìgbà. Ó ń jẹ ẹlẹ́yà mi gan-an. Mo ti dáwọ̀ ìgbàfọkànsín dúró.","Faecal incontinence causing social withdrawal over six months, a symptom commonly under-reported due to embarrassment, associated with obstetric sphincter injury, rectal prolapse, or neuropathy, requiring anorectal manometry and endoanal ultrasound.",LOW
How bad is the breathlessness at rest — can you say more than three or four words at a time?,Mí mi kúrú tó jẹ́ kí n sọ ọ̀rọ̀ méjì tàbí mẹ́ta péré ṣáájú kí n tó sinmi. Mo wà ní ibùsùn pẹ̀lú ìrọ̀lẹ́ mẹ́ta.,"Breathlessness at rest limiting speech to two to three words with three-pillow orthopnoea, indicating acute decompensated heart failure requiring emergency diuresis, oxygen, and echocardiography.",LOW
Does the breathlessness improve when you lean forward with your hands on your knees?,"Nígbà tí mo bá tẹ̀ iwájú mo sì fi ọwọ́ mi gbe orúkún mi, mí mi ń rọ díẹ̀. Ó jẹ́ ọ̀nà tí mo máa ń lo láti sinmi.","Tripod positioning with orthopnoea relieved by forward lean, a compensatory posture that fixes the accessory muscles of respiration and is characteristic of severe COPD, acute asthma, or any cause of critical respiratory distress.",LOW
"Have you been exposed to bird droppings, feathers, or mouldy hay in your work or home environment?",Mo ń tọ́jú adìẹ ní ọgbà mi. Mo ń wọ ìgbẹ́ wọn ní gbogbo owúrọ̀ láìsí ẹ̀wù ìdáàbòbò. Ikọ́ mi bẹ̀rẹ̀ lẹ́yìn ọ̀sẹ̀ mẹ́fa.,"Organic dust exposure from poultry droppings without respiratory protection developing into a cough six weeks later, consistent with hypersensitivity pneumonitis (bird fancier's lung), requiring precipitin antibodies, HRCT chest, and antigen avoidance.",LOW
Have you been told that you have a spine problem such as a slipped disc or spinal stenosis?,Dọ́kítà sọ pé eegun ẹ̀hin mi kan ti rọ ní ọdún méjì sẹ́yìn. Wọ́n fún mi ní oògùn ṣùgbọ́n ko ràn mí lọ́wọ́. Irona tún wà.,"Lumbar disc prolapse with persistent pain despite medical management requiring physiotherapy assessment, pain specialist referral, and consideration of epidural steroid injection or surgical discectomy.",LOW
"Does the child appear to be growing normally, and have you been told their weight is low for their age?",Dọ́kítà ní ilé-ìwòsàn àdúgbò sọ pé ìwọ̀ ara ọmọ mi kéré fún ọjọ́-orí rẹ̀. A ko orúkọ rẹ̀ sínú ìwé àìsàn tó ń gbajúmọ̀.,"Documented underweight for age with enrolment on a community nutrition programme, indicating established childhood malnutrition requiring anthropometric monitoring, therapeutic feeding, and investigation of underlying contributory illness.",LOW
"Alongside the headache, have you had any vomiting, sensitivity to light, or stiff neck?","Pẹ̀lú orí fífọ̀ mi, mo ègbọn lẹ́ẹ̀mejì àti ìmọ̀lẹ̀ ń bani lójú mi. Ọrùn mi tún dì, mi ò lè tẹ orí mi wá siwájú.","The meningism triad of headache, photophobia, and neck stiffness with vomiting constituting a meningitis emergency requiring immediate lumbar puncture after neuroimaging and empirical antibiotic and dexamethasone administration.",LOW
"Do you have any loose teeth, or have any teeth fallen out recently without any injury?",Eyín méjì ti bọ̀ láìsí ìdájọ́ fún ọjọ́ kan. Àwọn tó ṣẹ́ kù ń jọ pé wọ́n ń gúnjú. Mo ní ẹni ogójì ọdún.,"Spontaneous tooth loss with remaining tooth mobility in a forty-year-old patient, indicating advanced periodontitis or an underlying systemic condition such as diabetes, leukaemia, or Paget's disease affecting alveolar bone.",LOW
"Has your child been having episodes of breath-holding, turning blue, and then becoming limp?","Ọmọ mi máa ń dáwọ mí dúró nígbà tí ó bá bínú tàbí dùn. Ó máa ń di búlúù, lẹ́yìn náà ó máa ń di rọ. Mo bẹ̀rù púpọ̀.","Cyanotic breath-holding spells triggered by pain or frustration with post-ictal hypotonia, a benign but frightening condition requiring parental reassurance, while cardiac and neurological causes of episodic cyanosis must be excluded.",LOW
Have you been feeling excessively thirsty and passing large amounts of urine more than usual?,"Mo máa ń fẹ omi ní ìgbà-ìgbà, mi ò sì lè yọ ìfẹ́ omi náà. Mo ń ṣe ito lọ́pọ̀lọpọ̀, pàápàá ní alẹ́.","Polydipsia and polyuria with prominent nocturia, forming the classical triad of uncontrolled diabetes mellitus or diabetes insipidus, requiring urgent fasting blood glucose and urinalysis.",LOW
"Does the pain wake you from sleep, and if so, at what time of night does it typically happen?","Mo máa ń jí ní àárọ̀ àárọ̀ ọjọ́ ìmọ́lẹ̀, bóyá ní wákàtí méjì tàbí mẹ́ta, pẹ̀lú irora ìdọ̀tí tó le. Ó máa ń lọ lẹ́yìn wákàtí kan.","Early morning pelvic pain at two to three a.m. with spontaneous resolution over one hour, consistent with cyclical hormonal-mediated pain from endometriosis or interstitial cystitis, requiring pelvic MRI and gynaecology or urology assessment.",LOW
"How long have you had this low mood, and have there been any periods in between when you felt normal?",Inú mi ti ń dùn fún oṣù mẹ́rin láìsí ìsinmi. Ko sí ọjọ́ kan tí mo ti nímọ̀lára dáradára nínú ìgbà yẹn.,"Persistent depressed mood for four months without euthymic intervals, meeting duration criteria for a major depressive episode and requiring PHQ-9 scoring, suicide risk assessment, and antidepressant or psychological therapy initiation.",LOW
Have you been experiencing any unusual hair growth on your chin or upper lip as a woman?,Irun ti bẹ̀rẹ̀ sí hù lórí abẹ́ ẹnu mi àti aláàárín ẹ̀gbẹ́ ẹ̀gbẹ́ mi ní ọdún kan sẹ́yìn. Mo tún ní àìdára oṣù.,"Hirsutism with menstrual irregularity suggesting polycystic ovarian syndrome with hyperandrogenism requiring testosterone, LH, FSH, and pelvic ultrasound.",LOW
"Have you been eating enough during Ramadan, and has this affected your medication schedule?",Mo ń àwẹ̀ fún oṣù Ramadan. Mo dáwọ̀ mu oògùn ìpàná ẹjẹ̀ mi nígbà ọjọ́ nítorí àwẹ̀. Mo máa ń mu wọn lẹ́ẹ̀mejì ní alẹ́ péré.,"Ramadan fasting with self-modified antihypertensive dosing without medical guidance, creating risk of inadequate blood pressure control during the day and relative overdose at night, requiring culturally sensitive medication timing counselling from a clinician.",LOW
Have you been having any new or worsening pain since you started taking a new medication?,"Lẹ́yìn tí mo bẹ̀rẹ̀ oògùn tuntun fún ẹjẹ̀ mi, irora iṣan ara bẹ̀rẹ̀ ní àwọn ẹsẹ̀ mi méjèéjì. O le ní alẹ́.",Statin-induced myalgia with bilateral leg pain requiring creatine kinase measurement and consideration of dose reduction or switch to an alternative statin.,LOW
Have you been having any pain during examination or when using tampons?,Ìdánwò ìbò mi máa ń ṣe mí irora gan-an. Mo máa ń bẹ̀rù rẹ̀ dé ìwọn tí mo máa ń yẹra fún ìbẹ̀wò dọ́kítà.,"Significant examination-related pain and medical avoidance behaviour consistent with vaginismus or vulvodynia, requiring a sensitive, phased examination approach, pelvic floor physiotherapy, and psychological support to address pain-avoidance cycles.",LOW
Is the back pain associated with any shooting pain down one or both legs?,"Irora ẹ̀hin mi ń rọ sínú ẹsẹ̀ méjèèjì, tó ń lọ títí dé ìpẹ̀sẹ̀. Apá òsì ni ó le jù.","Bilateral sciatica with left-sided predominance radiating to the feet, suggesting central lumbar disc prolapse with potential bilateral nerve root compression, warranting urgent MRI and neurological assessment.",LOW
"Have you ever been diagnosed with gout, and have you been eating a lot of red meat or alcohol recently?",Dọ́kítà sọ pé mo ní ẹ̀jẹ̀ acid uric tó pọ̀ ní ọdún kan sẹ́yìn. Mo ti ń jẹ ẹran pọ̀ àti mimu ọtí ní ọ̀sẹ̀ tí ó kọjá.,"Known hyperuricaemia with recent dietary indiscretion including excess red meat and alcohol consumption, the classical precipitants of an acute gout flare, consistent with the current presentation of joint inflammation.",LOW
"Have you been experiencing discrimination at the hospital — feeling rushed, dismissed, or not listened to?","Ní ìgbà-ìgbà, mo ń jẹ pé dọ́kítà kò gbọ́ ohun tí mo ń sọ. Mo sì ń jẹ pé nítorí àwọ ara mi tàbí ìsọ̀rọ̀ mi, a kò gbà mi lọ́kàn.","Patient-reported experience of dismissal and possible implicit bias in clinical encounters, requiring acknowledgement, apology, and documentation, alongside systemic reflection on equitable care delivery and communication training for clinical staff.",LOW
Have you been taking your blood pressure tablets at the same time every day?,Mi ò mu oògùn mi ní àkókò kannáà ní ọjọ́-ọjọ́. Ní ìgbà-ìgbà mo gbàgbé pátápátá. O ti ń ṣẹlẹ̀ ní gbogbo ọ̀sẹ̀.,"Irregular antihypertensive dosing causing blood pressure variability, which is independently associated with cardiovascular events, requiring education on consistent timing and pill organiser or alarm reminder strategies.",LOW
Does breathing through a piece of cloth or covering your mouth in dusty areas make the cough worse or better?,"Nígbà tí mo bá bo ẹnu mi pẹ̀lú àṣọ ní àyíká erùpẹ̀, ikọ́ mi ń dínkù síwájú sí i. Ó ń ràn mí lọ́wọ́ ní ọjà.","Cloth mask reducing dust-triggered cough, confirming occupational or environmental particulate aetiology and indicating the protective benefit of properly fitted dust masks in the workplace, which should be formally prescribed as part of occupational health management.",LOW
"Have you eaten or drunk anything since midnight, including water, sweets, or chewing gum?",Mo mu omi díẹ̀ ní àárọ̀ ìmọ́lẹ̀ nítorí èbì mi pọ̀. Mo tún jẹ ọ̀pẹ̀ kéékèéké ṣáájú kí n tó wá.,"Pre-operative fasting protocol violation with water and food intake on the morning of surgery, requiring anaesthetic team notification to assess aspiration risk and determine whether to proceed, delay, or modify the anaesthetic technique.",LOW
"Have you been experiencing bone pain, particularly in your back, ribs, or hips?","Ẹ̀hin mi, ìbàdí mi, àti ìhà àyà mi ń dùn fún oṣù mẹ́ta. Irora náà kò ń lọ pátápátá, ó máa ń burú ní alẹ́.","Axial skeletal pain involving the back, pelvis, and ribs with nocturnal worsening over three months in an older patient, raising significant concern for multiple myeloma requiring serum protein electrophoresis, Bence Jones protein, and skeletal survey.",LOW
"Have you been having nosebleeds that are difficult to stop, and how long do they usually last?","Ẹjẹ̀ máa ń jáde nínú imu mi lẹ́ẹ̀mejì ní ọ̀sẹ̀, ó máa ń pẹ́ fún ìṣẹ́jú mẹ́ẹ̀ẹ́dógójì kí ó tó dúró.","Recurrent epistaxis twice weekly with prolonged duration of forty-five minutes, requiring anterior rhinoscopy to identify a Kiesselbach's plexus source, alongside coagulation screen and blood pressure measurement to exclude systemic causes.",LOW
"Have you been having difficulty swallowing, and does food or drink sometimes go down the wrong way?","Oúnjẹ àti omi máa ń wọ ọ̀nà tó yàtọ̀ nígbà-ìgbà, ó ń jẹ́ kí n kúkú. Mo ti ní ìsẹ̀lẹ̀ mẹ́ta bẹ́ẹ̀ ní oṣù kan.","Oropharyngeal dysphagia with aspiration episodes on three occasions in the past month, indicating neurological or structural pharyngeal pathology and significant aspiration pneumonia risk requiring videofluoroscopic swallowing study.",LOW
"Have you been walking barefoot on soil, especially around areas with poor sanitation?","Bẹ́ẹ̀ ni, mo máa ń rìn bàtà rẹ nínú pápá tí wọ́n ń lo gẹ́gẹ́ bí ìgbẹ́ ìgbọ̀nsẹ̀ ní abúlé wa. Mo ń ṣe bẹ́ẹ̀ fún ọdún.","Chronic barefoot exposure to soil contaminated with human faeces over many years, placing the patient at significant risk for hookworm infection, strongyloidiasis, and cutaneous larva migrans.",LOW
"Have you noticed any neck stiffness, arching of the back, or unusual eye movements in the child?","Ọmọ mi ń tẹ ẹ̀yìn rẹ̀ sẹ́yìn kí ó sì ń kígbe. Ọrùn rẹ̀ dì, kò lè tẹ orí rẹ̀ wá siwájú.","Opisthotonus with neck rigidity and inconsolable cry in a febrile child — a classical presentation of bacterial meningitis or tetanus requiring immediate lumbar puncture, blood cultures, and empirical antibiotic therapy.",LOW
Do you have any concerns about your heart that you have not yet mentioned?,Mo ń yọ̀ nípa ọkàn mi ṣùgbọ́n kò sí ẹni tó béèrè mi. Ẹ̀gbọ́n mi kú nítorí ọkàn ní ọdún méjì sẹ́yìn. Mo bẹ̀rù.,"Undisclosed cardiac anxiety following sibling cardiac death, requiring explicit acknowledgement and cardiological reassurance alongside investigation.",LOW
"Is the palpitation a regular fast rhythm, or does it feel irregular like random extra beats?","Ọkàn mi ń lu ní ọ̀nà tí kò ṣe àmúlò, bíi ẹni tó ń fo ìgbà-ìgbà. Ó kò ní ìṣọ̀kan. Mo ń ní ìmọ̀lára pé ọkàn mi máa ń fo lẹ́ẹ̀kọ̀ọ̀kan.","Irregular palpitation with a sensation of missed beats rather than a rapid regular rhythm, the subjective experience of ectopic beats or atrial fibrillation, requiring a twelve-lead ECG and twenty-four hour Holter monitor to characterise the arrhythmia.",LOW
"Do you have any difficulty raising your arm above your head, such as when combing your hair?",Mo ti dáwọ ẹwà irun fún ọwọ́ mi dúró nítorí mi ò lè gbé apá mi gaju. Irora ń wáyé nígbà tí mo bá gbìyànjú.,"Painful restriction of shoulder abduction and flexion preventing overhead activity, consistent with rotator cuff pathology, adhesive capsulitis, or subacromial impingement syndrome.",LOW
Have you been experiencing any hot flushes or sweating episodes at predictable times of day?,Ìgbóná máa ń wáyé ní ìgbà-ìgbà ní ọ̀sán àti alẹ́ fún oṣù mẹ́fà. Mo gbó lọ́pọ̀lọpọ̀ àti ọkàn mi ń lu yára ní àkókò yẹn.,"Predictable diurnal hot flushes with diaphoresis and palpitations consistent with perimenopausal vasomotor symptoms or, if male, carcinoid syndrome, requiring hormonal assessment and twenty-four hour urinary 5-HIAA if male.",LOW
"Have you noticed any sudden floaters, flashes of light, or a curtain-like shadow across your vision?","Ní òwúrọ̀ àná, mo bẹ̀rẹ̀ rí ọ̀pọ̀lọpọ̀ àwọn nǹkan tó ń fò nínú ojú mi àti ìmọ̀lẹ̀ tó ń yọ̀. Apá ìsàlẹ̀ ojú mi di òkùnkùn bí ìbòjú.","Sudden onset floaters with photopsia and an inferior visual field defect described as a curtain shadow, constituting the classical triad of rhegmatogenous retinal detachment — an ophthalmic emergency requiring same-day retinal assessment.",LOW
"Does the joint pain feel deep inside the joint, or is it mainly on the surface of the skin over the joint?","Irora náà wà jíjìn nínú ìpín mi, kì í ṣe lórí awọ ara. Nígbà tí mo bá tẹ ìpín, irora ń wáyé nínú rẹ̀ gan-an.","Deep articular pain on joint palpation distinguishing intra-articular pathology such as cartilage damage, synovitis, or crystal deposition from superficial periarticular conditions such as bursitis, tendinopathy, or cellulitis.",LOW
"Are you using any contraceptive pills, injections, or implants, and for how long?",Mo ń lo àbẹ́rẹ́ ìdásí fún ọdún méjì. Ó máa ń wáyé lẹ́ẹ̀mẹ́rin ní ọdún. Mo kò ní àìsàn kankan lẹ́yìn rẹ̀ tó jẹ aríwo.,"Injectable progestogen-only contraception used for two years with regular three-monthly administration and no reported significant adverse effects, requiring blood pressure monitoring and discussion of long-term bone density implications.",LOW
"Have you experienced any pain, discharge, or swelling in the testicular or scrotal area?","Ìdọ̀tí mi ọ̀tún ti wú àti ń dùn fún ọjọ́ méjì. Irora náà wáyé lójijì, kò ní ìkìlọ̀ kankan, ó sì le gidigidi.","Sudden onset unilateral scrotal pain and swelling of two days duration without prodrome in a male patient, requiring urgent scrotal ultrasound to exclude testicular torsion — an urological emergency where viability is time-dependent.",LOW
Have you been told your parathyroid hormone or calcium level is abnormal on a blood test?,Dọ́kítà sọ pé kálsíọ̀mù nínú ẹjẹ̀ mi ga fún ọdún kan. Ó fún mi ní omi láti mu ọ̀pọ̀lọpọ̀ ṣùgbọ́n kò sọ fún mi ìdí rẹ̀.,"Asymptomatic hypercalcaemia identified one year ago without investigation of the aetiology, the most common cause of which is primary hyperparathyroidism, requiring parathyroid hormone measurement, neck ultrasound, and renal function assessment.",LOW
"Has the child's cry changed — is it weaker, higher-pitched, or does the child seem too quiet?","Ọmọ mi ti dẹ́kun sọkún. Kò ń kígbe mọ́ bí ìgbà àárọ̀, ó dà bí ẹni tó ń sun títí.","Absent cry with excessive somnolence in an infant, constituting danger signs of severe illness — potentially sepsis, meningitis, or severe anaemia — requiring immediate triage and resuscitation assessment.",LOW
"Have you had any unprotected sexual contact recently, and do you have multiple sexual partners?","Mo ní ọ̀rẹ́ obìnrin tuntun kan ní oṣù méjì sẹ́yìn, a kò lo àbọ̀. Mo ṣe ìbálòpọ̀ pẹ̀lú ọ̀rẹ́ kejì tún ní ọ̀sẹ̀ mẹ́ta sẹ́yìn.","Multiple recent unprotected sexual contacts within the preceding three months, conferring significant risk for sexually transmitted infections including gonorrhoea, chlamydia, syphilis, and HIV, requiring comprehensive STI screening.",LOW
"Do you have difficulty starting to urinate, a weak stream, or do you feel you cannot empty your bladder fully?","Mo ń rí ìṣòro láti bẹ̀rẹ̀ ito. Ìṣàn rẹ̀ kúrú, àti pé mo ń jẹ pé ikùn ito mi kò ṣòfò dáradára lẹ́yìn.","Lower urinary tract symptoms comprising hesitancy, poor stream, and incomplete bladder emptying in a male patient, consistent with benign prostatic hyperplasia or bladder neck obstruction requiring digital rectal examination and uroflowmetry.",LOW
"Have you been using social media a lot, and has it been making you feel worse about yourself?","Mo máa ń lo Instagram fún wákàtí mẹ́fà ní ọjọ́ kan. Nígbà tí mo bá rí àwọn ọ̀rẹ́ mi lórí rẹ̀, mo máa ń ní ìmọ̀lára pé mi ò tó wọn.","Excessive social media use of six hours daily with social comparison and low self-esteem, a pattern associated with adolescent depression and anxiety disorders requiring digital wellbeing education and cognitive-behavioural intervention.",LOW
"Is the patient able to speak, and can they tell you their name and where they are?",Ó ń sọ ọ̀rọ̀ ṣùgbọ́n kò ń jáde dáradára. Ó mọ̀ orúkọ rẹ̀ ṣùgbọ́n kò mọ̀ ibití ó wà tàbí ọjọ́ tí ó jẹ́.,"Dysarthric speech with preserved nominal recall but disorientation to place and time, indicating a Glasgow Coma Scale score of approximately thirteen and a focal neurological deficit requiring immediate stroke pathway activation.",LOW
