"Doctor_English","Patient_Yoruba","Clinical_Translation_English"
"Have you noticed any change in the shape or size of your abdomen on one side only?","Ẹ̀gbẹ́ ọ̀tún ikùn mi ti wú díẹ̀ síwájú sí i fún oṣù mẹ́fà. Ko dùn ṣùgbọ́n ó hàn nígbà tí mo bá wò inú dígí.","Unilateral progressive abdominal asymmetry over six months without pain requiring abdominal CT to exclude hepatomegaly, splenomegaly, renal mass, or retroperitoneal tumour."
"Have you been told your blood sugar control has been poor and your HbA1c is very high?","Ìdánwò HbA1c mi wà ní ọgọ́fà àti méjì ní ọjọ́ mẹ́ta sẹ́yìn. Dọ́kítà sọ pé ó buru jù. Mo ń gbìyànjú ṣùgbọ́n owó oògùn pọ̀ jù.","HbA1c of sixty-two indicating uncontrolled diabetes with financial barriers to medication adherence requiring social prescribing, medication cost review, and insulin initiation consideration."
"Have you been having any cramping in your legs that prevents you from sleeping well?","Iṣan ara ẹsẹ̀ mi méjèéjì máa ń gbọn ní alẹ́ tó ń jí mi. O ń dúró fún ìṣẹ́jú mẹ́wàá. Sísun ẹsẹ̀ ń ràn mí lọ́wọ́.","Nocturnal leg cramps requiring exclusion of electrolyte imbalance, peripheral artery disease, and medication causes before recommending stretching exercises and magnesium supplementation."
"Have you been told you have an underactive thyroid, and are you taking the correct dose of medication?","Mo ní hypothyroidism fún ọdún mẹ́fà. Mo ń mu levothyroxine ṣùgbọ́n àárẹ̀ mi ṣì wà. Kò sí ìdánwò TSH mọ́ fún ọdún méjì.","Undertreated hypothyroidism with persistent fatigue and two years without TSH monitoring requiring thyroid function testing and levothyroxine dose titration."
"Have you been having any pain specifically in your big toe joint that starts suddenly at night?","Ìpín ọwọ́ orùka ẹsẹ̀ mi ọ̀tún máa ń dùn lójijì ní alẹ́ tó ń jí mi dìde. O máa ń pupa àti wú. Ó lọ fúnra rẹ̀ ní ọjọ́ mẹ́fà.","Podagra with nocturnal first metatarsophalangeal joint pain, redness, and swelling resolving spontaneously over six days, the pathognomonic presentation of acute gout requiring serum urate and dietary modification."
"Have you been having any difficulty with reading or writing since your stroke?","Lẹ́yìn ìjàǹbá ọpọlọ mi, kíkà àti kíkọ ti ṣòro. Mo lè kà àwọn ọ̀rọ̀ kéékèéké ṣùgbọ́n ìwé pípẹ́ jẹ mí lóru. O ti yẹ̀ díẹ̀.","Post-stroke alexia and dysgraphia with partial recovery requiring speech and language therapy assessment and cognitive rehabilitation for written language processing."
"Have you been having any unexpected weight gain despite not eating more than usual?","Mo ti pọ̀ sí i ní oṣù mẹ́fà bí ó tilẹ̀ jẹ́ pé mi ò jẹ sí i. Àwọ̀ ara mi tún ti yí padà. Mo ní àárẹ̀ àti tutu gbogbo ìgbà.","Unexplained weight gain with cold intolerance and fatigue consistent with hypothyroidism requiring TSH and free T4 measurement."
"Have you been having any difficulty swallowing pills or tablets due to a dry mouth?","Ẹnu mi gbẹ gan-an fún oṣù mẹ́fà. Mo ń ní ìṣòro gbígbé tábùlẹ́tì. Ó ti ń nípa lórí gbígbọ̀ àti jíjẹun mi.","Xerostomia causing swallowing difficulty and pill dysphagia, a common side effect of anticholinergic medications, diuretics, and Sjögren's syndrome, requiring medication review and saliva substitute prescription."
"Have you been having any blood in your vomit that looks like coffee grounds?","Ohun tí mo ègbọn ní àwọ̀ ilẹ̀ kọfì ní ìgbà kan ní ọjọ́ méjì sẹ́yìn. Ó jẹ́ ìgbà àkọ́kọ́ rẹ̀. Mo bẹ̀rù gan-an.","Coffee-ground haematemesis indicating upper gastrointestinal haemorrhage from peptic ulcer or varices requiring immediate resuscitation, urgent endoscopy, and proton pump inhibitor infusion."
"Have you been having any pain that radiates into your groin from your back?","Irora ẹ̀hin mi ọ̀tún máa ń rọ sínú ìdì mi ọ̀tún. Ó máa ń le ní ìgbà-ìgbà. O ti wà fún ọjọ́ méjì.","Right flank to groin radiation consistent with ureteric colic from a renal calculus requiring urgent CT KUB and analgesia with alpha-blocker to facilitate stone passage."
"Have you been having any problems with your vision when driving, particularly at night?","Ní alẹ́, àwọn ìmọ̀lẹ̀ ọkọ̀ tó ń bọ̀ ń bani lójú mi gan-an. Mo máa ń ríran ṣòòfà tún. Mo ti dáwọ̀ wakọ̀ alẹ́ dúró.","Glare sensitivity and reduced night vision requiring assessment for early cataract, corneal disease, or refractive error with urgent ophthalmology review before returning to night driving."
"Have you been told that you have a cyst on your kidney or ovary, and has it been followed up?","Ìdánwò ojú omi ri àpò omi kéékèéké lórí ẹ̀yìn mi ọ̀sì ní ọdún kan sẹ́yìn. Ko sí ìtẹ̀lé ìdánwò. Mi ò mọ̀ bóyá ó ti pọ̀.","Ovarian cyst without follow-up imaging to assess for growth or malignant transformation, requiring repeat ultrasound and gynaecology assessment using RMI score for malignancy risk stratification."
"Have you been having any burning or tingling in your feet that is worse at night?","Ẹsẹ̀ mi méjèéjì ń jó àti hu bíi àbẹ̀rẹ̀ ń gún wọn ní alẹ́. Ó máa ń buru sí i ní ìgbà tutù. O ti wà fún ọdún kan.","Burning nocturnal paraesthesia in a stocking distribution over one year consistent with peripheral neuropathy from diabetes, B12 deficiency, or alcohol requiring nerve conduction studies and metabolic screen."
"Have you been having any difficulty hearing your phone ring or following conversations in a group?","Mo máa ń padanu ọ̀rọ̀ nínú ìpàdé tí àwọn ènìyàn pọ̀. Mo tún máa ń padanu ìpè fóònù ní ìgbà-ìgbà. O ti ń burú sí i ní ọdún kan.","Progressive high-frequency sensorineural hearing loss affecting speech discrimination in noise, consistent with presbyacusis or noise-induced hearing loss requiring pure tone audiometry and hearing aid fitting."
"Have you been having any unusual tastes or smells that others around you cannot detect?","Mo máa ń gbọ́ òórùn ìjó tó ń bani lóru ní ìgbà-ìgbà tí kò sí ẹni mìíràn tó gbọ́ rẹ̀. O ń ṣẹlẹ̀ fún oṣù mẹ́ta.","Olfactory hallucinations consisting of phantom burning smell, a phenomenon called phantosmia associated with temporal lobe epilepsy, migraine, or nasal pathology requiring EEG and neurological assessment."
"Have you been told you need to monitor your INR, and are you having regular blood tests for this?","Mo ń mu warfarin fún ọdún méjì ṣùgbọ́n mi ò ṣe ìdánwò INR rẹ̀ fún oṣù mẹ́fà. Ó gbọ̀ mi pé ó gbọdọ̀ wà ní ìwọ̀n kan.","Warfarin therapy without INR monitoring for six months creating significant under or over-anticoagulation risk with either thrombosis or haemorrhage, requiring immediate INR check and structured anticoagulation clinic enrolment."
"Have you been experiencing any vision changes specifically when looking at straight lines?","Nígbà tí mo bá wò ẹnu ilẹ̀kùn tàbí ìlà tó tọ, wọn máa ń dà bíi tó wọ́n tàbí ń ìgòkè. O ti bẹ̀rẹ̀ oṣù mẹ́ta sẹ́yìn.","Metamorphopsia with distortion of straight lines over three months, the characteristic visual symptom of age-related macular degeneration requiring urgent optical coherence tomography and intravitreal anti-VEGF therapy assessment."
"Have you been having any unusual muscular weakness that comes and goes throughout the day?","Àìlera iṣan ara mi máa ń burú ní òrùlé ọjọ́ àti lẹ́yìn ìdárayá. Mo máa ń dára lẹ́yìn ìsinmi. O ti ń ṣẹlẹ̀ fún oṣù mẹ́fà.","Fatigable diurnal muscle weakness worsening with activity and improving with rest over six months, the pathognomonic pattern of myasthenia gravis requiring acetylcholine receptor antibodies, repetitive nerve stimulation, and CT chest for thymoma."
"Have you been having any episodes of sudden severe pain in one eye with headache and nausea?","Ojú ọ̀tún mi ń dùn gan-an lójijì pẹ̀lú orí fífọ̀ àti ríru ní ìgbà méjì ní oṣù kan. O ń pẹ́ fún wákàtí méjì.","Episodic severe unilateral eye pain with headache and nausea consistent with acute angle-closure glaucoma requiring same-day tonometry, anterior chamber assessment, and laser iridotomy to prevent permanent visual loss."
"Have you been told you have an irregular heartbeat and do you know what type it is?","Dọ́kítà sọ pé ọkàn mi kò ń lu déédéé ní ọdún méjì sẹ́yìn. Ko ṣàlàyé irú rẹ̀. Mo ń mu aspirin nìkan.","Undisclosed cardiac arrhythmia without anticoagulation beyond aspirin, potentially atrial fibrillation with inadequate stroke prevention, requiring ECG, Holter monitor, and CHA2DS2-VASc risk scoring for anticoagulant decision-making."
"Have you been having any problems with your appetite or weight since your chemotherapy ended?","Lẹ́yìn oògùn kẹmíkà mi parí, ìfẹ́kúfẹ̀ẹ́ mi ṣì kéré. Mo ti tẹ̀nìí ní oṣù mẹ́fà. Àárẹ̀ mi tún ṣì wà.","Persistent post-chemotherapy anorexia and weight loss with fatigue requiring surveillance for malignancy recurrence, secondary adrenal insufficiency, and nutritional rehabilitation."
"Have you been having any puffiness under your eyes that is worse after eating salty food?","Àyíká ìsàlẹ̀ ojú mi máa ń wú lẹ́yìn tí mo bá jẹ oúnjẹ tó ní iyọ̀ pọ̀. Ó máa ń lọ ní ọjọ́ tó tẹ̀le. O ti ń ṣẹlẹ̀ fún oṣù mẹ́fà.","Salt-sensitive periorbital oedema consistent with early nephrotic syndrome or sodium-sensitive fluid retention requiring urine protein quantification, renal function, and albumin measurement."
"Have you been having any uncontrolled movements of your arms or legs while sitting still?","Ẹsẹ̀ mi méjèéjì máa ń gúnjú lórí ara wọn nígbà tí mo bá jókòó tí kò ní ìfẹ́ mi. O ń ṣẹlẹ̀ ní àwọn ìpàdé àti nígbà ìsùn.","Involuntary lower limb movements at rest and during sleep consistent with restless legs syndrome requiring iron studies, renal function, and consideration of dopamine agonist therapy."
"Have you been having any problems controlling your emotions, crying or laughing at unexpected times?","Mo máa ń sọkún tàbí rẹ́rìn-ín lójijì laìsí ìdí tó yẹ. O ń ṣẹlẹ̀ ní iṣẹ́ tó ń jẹ ẹlẹ́yà mi. O ti ń ṣẹlẹ̀ fún oṣù mẹ́fà.","Pseudobulbar affect with involuntary emotional expression disorder requiring assessment for multiple sclerosis, stroke, motor neurone disease, or traumatic brain injury, with dextromethorphan-quinidine as pharmacotherapy."
"Have you been having any difficulty breathing specifically when lying on your back?","Mí mi kúrú nígbà tí mo bá dùbúlẹ̀ pẹ̀tẹ́lẹ̀ ṣùgbọ́n dára nígbà tí mo bá jókòó. Mo ń lo ìrọ̀lẹ́ mẹ́ta láti sùn.","Orthopnoea requiring three pillows with supine dyspnoea and sitting relief, the classic features of left ventricular failure with pulmonary oedema requiring urgent echocardiography and diuretic therapy."
"Have you been having any recurrent infections in your chest that keep coming back after antibiotics?","Mo ti mu oògùn àkóràn fún àrùn àyà lẹ́ẹ̀mẹ́fà ní ọdún kan. Gbogbo wọn ràn mí lọ́wọ́ ṣùgbọ́n ó máa ń padà ní ọ̀sẹ̀ díẹ̀.","Recurrent pulmonary infections with rapid post-antibiotic relapse suggesting bronchiectasis, immunoglobulin deficiency, or structural lung disease requiring HRCT chest and immunology screen."
"Have you noticed any change in how much you sweat, either sweating more or less than before?","Mo ti dáwọ̀ gbó bíi ìgbà àárọ̀ mi. Ara mi gbẹ gan-an ní ìgbà ooru. O ti ń ṣẹlẹ̀ fún oṣù mẹ́fà.","Anhidrosis over six months raising concern for autonomic neuropathy from diabetes, peripheral nerve disease, or Horner's syndrome, requiring autonomic function testing and thermoregulatory sweat test."
"Have you been having any pressure in your ears or muffled hearing after a flight?","Lẹ́yìn ìrìn-àjò ọkọ̀ òfuurufú, etí mi méjèéjì ti kún àti gbígbọ́ di àìtó. Ó ti wà fún ọjọ́ mẹ́ta. Gbígbọ̀ kò ràn mí lọ́wọ́.","Barotrauma from Eustachian tube dysfunction after air travel causing conductive hearing loss requiring autoinflation manoeuvres, decongestants, and ENT review if symptoms persist beyond two weeks."
"Have you been having any pain under your right shoulder blade after eating a heavy meal?","Ẹ̀hin ìhà ọ̀tún mi ń dùn lẹ́yìn oúnjẹ tó lera. Ó ń tan sínú èjìká mi ọ̀tún. O ti ń ṣẹlẹ̀ fún oṣù méjì.","Right subscapular pain after meals with shoulder radiation consistent with biliary colic from cholelithiasis, the referred pain pathway via the right phrenic nerve, requiring abdominal ultrasound and surgical cholecystectomy referral."
"Have you been taking your blood pressure tablets at the same time every day?","Mi ò mu oògùn mi ní àkókò kannáà ní ọjọ́-ọjọ́. Ní ìgbà-ìgbà mo gbàgbé pátápátá. O ti ń ṣẹlẹ̀ ní gbogbo ọ̀sẹ̀.","Irregular antihypertensive dosing causing blood pressure variability, which is independently associated with cardiovascular events, requiring education on consistent timing and pill organiser or alarm reminder strategies."
"Have you been experiencing any stiffness in your fingers that prevents you from making a fist in the morning?","Àwọn ìpín ọwọ́ mi méjèéjì di jáko ní owúrọ̀ fún ìṣẹ́jú àádọ́ta. Mo kò lè di ọwọ́ mi mú. Ó máa ń yẹ̀ lẹ́yìn ìgbésẹ̀.","Prolonged morning finger stiffness lasting fifty minutes with grip weakness, the hallmark inflammatory pattern of early rheumatoid arthritis, requiring urgent rheumatoid factor, anti-CCP antibody, and rheumatology referral."
"Have you been having any new floaters or a curtain across your vision?","Mo rí àwọn nǹkan tuntun tó ń fò nínú ojú mi ọ̀tún àti ìhà ìsàlẹ̀ ojú mi di òkùnkùn. O wáyé lójijì ní àárọ̀ ọjọ́ kẹrin.","Sudden floaters with an inferior visual field defect constituting the retinal detachment emergency triad requiring same-day ophthalmological assessment and surgical intervention."
"Have you been having any problems with your kidneys since starting your new pain medication?","Lẹ́yìn tí mo bẹ̀rẹ̀ oògùn NSAID tuntun, ẹsẹ̀ mi bẹ̀rẹ̀ sí wú àti ito mi dínkù. O ti ń ṣẹlẹ̀ fún ọ̀sẹ̀ méjì.","NSAID-induced acute kidney injury manifesting as oedema and oliguria requiring immediate drug cessation, renal function testing, and fluid status assessment."
"Have you been having any pain that wraps around from your back to your front like a belt?","Irora wà ní ẹ̀hin mi ọsì tó ń yika wá sí iwájú bíi ìgbànú. O le gan-an àti máa ń burú lẹ́yìn jíjẹun.","Belt-like epigastric and back pain following meals consistent with acute pancreatitis or pancreatic carcinoma requiring urgent serum amylase, lipase, and CT abdomen."
"Have you been told you have sleep apnoea and were you offered any treatment?","Dọ́kítà sọ pé mo ní àrùn mímí ní ìsùn ní ọdún kan sẹ́yìn ṣùgbọ́n ko ṣe àbẹ̀wò mọ́. Mi ò gba oògùn tàbí ẹrọ kankan.","Obstructive sleep apnoea without treatment initiation one year post-diagnosis, creating ongoing cardiovascular and neurocognitive risk, requiring CPAP titration study and urgent sleep clinic follow-up."
"Have you been having any difficulty controlling your blood pressure despite taking three medications?","Mo ń mu oògùn ìpàná ẹjẹ̀ mẹ́ta ṣùgbọ́n ẹjẹ̀ mi ṣì ga. Dọ́kítà ti ṣàfikún oògùn méjì ní ọdún méjì. Ó kò dára síwájú sí i.","Resistant hypertension on three antihypertensive agents requiring investigation for secondary causes including primary aldosteronism, renal artery stenosis, phaeochromocytoma, and medication non-adherence assessment."
"Have you noticed any visible pulsation in your neck when you look in the mirror?","Mo rí nǹkan tó ń lu ní ẹ̀gbẹ́ ọrùn mi ọ̀tún nígbà tí mo bá wò inú dígí. O ń hàn kíáá. Mo ti rí i fún ọ̀sẹ̀ méjì.","Visible carotid pulsation suggesting carotid artery aneurysm, carotid body tumour, or prominent carotid pulse from hypertension or aortic regurgitation requiring carotid ultrasound and cardiac assessment."
"Have you been having any pain specifically behind your kneecap when climbing stairs or squatting?","Irora wà lẹ́yìn tó àgún-ẹsẹ̀ mi nígbà tí mo bá gùn ìtẹ̀lọ́ọ̀dọ̀ tàbí jókòó kúrú. O máa ń yẹ̀ nígbà tí mo bá ní ẹsẹ̀ títọ.","Retropatellar pain on knee flexion activities consistent with patellofemoral syndrome requiring vastus medialis strengthening exercises, biomechanical assessment, and patellar taping."
"Have you ever had a blood test that showed your white blood cell count was very high or very low?","Ìdánwò ẹjẹ̀ kan fihàn pé àwọn ẹ̀dọ̀ ẹjẹ̀ funfun mi pọ̀ jù ní ọdún kan sẹ́yìn ṣùgbọ́n kò sí ẹni tó ṣe ìdánwò mọ́.","Unexplored leucocytosis without follow-up blood count potentially indicating infection, inflammatory disease, steroid effect, or haematological malignancy requiring immediate repeat full blood count with differential."
"Have you been having any difficulty breastfeeding because of pain in your nipples?","Ọmú mi méjèéjì ń dùn mi gan-an nígbà tí ọmọ mi bá ń mu. O ń jẹ mí kígbe. Mo ń gbìyànjú pẹ̀lú ìgbà gbogbo.","Severe bilateral nipple pain on breastfeeding requiring assessment for poor latch, tongue-tie, Raynaud's phenomenon of the nipple, and candidal infection before concluding on aetiology."
"Have you had any black or tarry stools recently, and have you been taking iron tablets?","Ìgbẹ́ mi di dúdú àti rírọ̀ fún ọjọ́ méjì. Mo ń mu ìrọ̀bí irin fún ẹjẹ̀ mi. Mi ò mọ̀ bóyá o jẹ́ nítorí oògùn.","Black tarry stools requiring differentiation between iron supplementation-related stool darkening and melaena from upper gastrointestinal haemorrhage, based on consistency, odour, and clinical context."
"Have you been having any difficulty opening your jaw wide, or does it lock in one position?","Ẹnu mi kò ṣí jájá mọ́. O ń dúró ní ìwọ̀n kan. Ní ìgbà-ìgbà ó dì patapata fún ìṣẹ́jú díẹ̀.","Trismus with jaw locking requiring assessment for temporomandibular joint internal derangement, masseteric hypertrophy, peritonsillar abscess, tetanus, or oral malignancy."
"Have you been experiencing any tingling or weakness in both hands that is worse at night?","Ọwọ́ mi méjèéjì máa ń hu bíi àbẹ̀rẹ̀ ń gún wọn ní alẹ́ tó ń jí mi dìde. Mo máa ń gbọn wọn láti gba ìtura.","Bilateral nocturnal hand paraesthesia relieved by shaking, the characteristic presentation of bilateral carpal tunnel syndrome requiring nerve conduction studies and consideration of surgical decompression."
"Have you been taking any pain medication that contains codeine, and how often?","Mo ń mu oògùn irora tó ní codeine ní ọjọ́-ọjọ́ fún oṣù mẹ́fà. Mi ò lè dáwọ̀ rárá. Nígbà tí mo gbìyànjú, inú mi ń ṣòro.","Daily codeine use for six months with physical dependence and inability to discontinue, indicating opioid dependence requiring structured tapering programme and pain specialist review for alternative analgesia."
"Have you been having any episodes of double vision that come and go?","Ní ìgbà-ìgbà, mo máa ń rí àwòrán méjì fún ohun kan. O ń wáyé àti lọ. O ti ń ṣẹlẹ̀ fún oṣù méjì.","Intermittent binocular diplopia requiring assessment for microvascular third nerve palsy, myasthenia gravis, thyroid eye disease, or demyelinating disease."
"Have you noticed any drooping of your eyelid that has come on recently?","Ojú àpèrè mi ọ̀tún ti bẹ̀rẹ̀ sí rọ̀ lẹ́yìn ọjọ́ mẹ́wàá. Mo ní láti gbé orí mi ga láti rí dáradára. Ko dùn.","Unilateral ptosis of recent onset requiring urgent assessment for Horner's syndrome from apical lung tumour, third nerve palsy from posterior communicating artery aneurysm, or myasthenia gravis."
"Have you been having any pain specifically around your left shoulder and arm when exercising?","Irora ń wáyé ní èjìká mi òsì àti apá mi nígbà ìdárayá. Ko ṣẹlẹ̀ nígbà ìsinmi. O ti ń ṣẹlẹ̀ fún oṣù kan.","Exertional left shoulder and arm pain without rest symptoms consistent with ischaemic referral from coronary artery disease, requiring urgent exercise ECG and cardiology assessment."
"Have you been having any problems producing saliva, making it difficult to talk or swallow?","Ẹnu mi gbẹ tó jẹ́ kí ọ̀rọ̀ mi di àìgbọ́ àti gbígbé oúnjẹ ṣòro. O ń burú ní ìgbà oòrùn. O ti wà fún oṣù mẹ́fà.","Xerostomia causing dysarthria and dysphagia over six months requiring investigation for Sjögren's syndrome, medication side effects, radiotherapy damage, and salivary gland pathology."
"Have you been having episodes of feeling your heart skip a beat followed by a hard thump?","Ọkàn mi máa ń dà bíi pé ó fo, lẹ́yìn náà ó máa ń lu pẹ̀lú ìmọ̀lára ìgbóná. O ń ṣẹlẹ̀ lẹ́ẹ̀mẹ́fà ní ọjọ́ kan.","Ectopic beats with compensatory pause and post-extrasystolic potentiation thumping sensation requiring ECG and Holter monitor to characterise and assess for underlying structural heart disease."
"Have you been having any pain in the groin that radiates down to the inner thigh?","Ìdì mi ọ̀tún ń dùn tó ń rọ sínú ìhà inú ẹsẹ̀ mi ọ̀tún. O ti wà fún ọjọ́ méjì. Ó le nígbà tí mo bá rìn.","Right groin pain radiating to the medial thigh along the obturator nerve distribution, consistent with obturator hernia, psoas abscess, or hip joint pathology requiring CT pelvis and hip assessment."
"Have you been having any difficulty seeing the edges of things or noticing things on one side?","Mo máa ń kọlù àwọn ohun ní ẹ̀gbẹ́ òsì nígbà tí mo bá ń rìn. Ìhà òsì ń dà bíi tó ṣòòfà. O ti ń ṣẹlẹ̀ fún oṣù mẹ́fà.","Left-sided homonymous hemianopia causing collisions with objects, indicating a right occipital or optic radiation lesion requiring urgent MRI brain to exclude stroke, tumour, or demyelination."
"Have you been having any pain that is worse when you breathe in deeply or press on your chest wall?","Irora àyà mi ń burú nígbà tí mo bá mí jìnnà tàbí nígbà tí a bá fi ọwọ́ tẹ ìhà àyà mi. Ko ṣẹlẹ̀ nígbà ìsinmi.","Pleuritic and musculoskeletal chest pain from deep breathing and palpation consistent with costochondritis or pleuritis requiring anti-inflammatory therapy and investigation for pulmonary embolism."
"Have you been told your blood sugar goes very low at night while you are sleeping?","Ìdánwò suga mi fihàn pé ó máa ń lọ sísàlẹ̀ gan-an ní alẹ́. Mo ń jí pẹ̀lú ìgbọn àti gbó. O ti ń ṣẹlẹ̀ fún oṣù méjì.","Nocturnal hypoglycaemia with autonomic symptoms on waking requiring insulin regimen review, reduction of basal insulin dose, and continuous glucose monitoring to prevent severe hypoglycaemia and hypoglycaemic unawareness."
"Have you been told you have protein in your urine, and have you been investigated for the cause?","Dọ́kítà sọ pé ìtọ mi ní àmì ẹjẹ̀ nínú rẹ̀ ní ọdún kan sẹ́yìn. Ko ṣe ìdánwò mọ́. Mo ní àtọ̀gbẹ̀ fún ọdún mẹ́wàá.","Persistent proteinuria in a ten-year diabetic without follow-up nephrological assessment, indicating diabetic nephropathy requiring ACE inhibitor initiation, tight glycaemic and blood pressure control, and annual urine albumin-to-creatinine ratio monitoring."
"Have you been having any difficulty sleeping because your legs feel restless at night?","Ẹsẹ̀ mi máa ń jẹ mí ìyọnu ní alẹ́, bíi ẹni pé wọ́n fẹ́ gúnjú. Gbígbé wọn ń ràn mí lọ́wọ́. O ti ń ṣẹlẹ̀ fún oṣù mẹ́fà.","Restless legs syndrome with dysaesthetic nocturnal leg restlessness relieved by movement, requiring iron studies for iron deficiency as a secondary cause and dopamine agonist therapy."
"Have you been having any difficulty with your digestion, with food feeling like it is sitting in your stomach?","Oúnjẹ máa ń jẹ mí bíi pé ó dúró nínú ikùn mi fún wákàtí pípẹ́ lẹ́yìn jíjẹun. Mo ń ní ríru pẹ̀lú. O ti ń ṣẹlẹ̀ fún oṣù mẹ́fà.","Gastroparesis symptoms with delayed gastric emptying sensation, nausea, and early satiety over six months, a common complication of diabetes, requiring gastric emptying scintigraphy and prokinetic therapy."
"Have you been experiencing any hot flushes or sweating episodes at predictable times of day?","Ìgbóná máa ń wáyé ní ìgbà-ìgbà ní ọ̀sán àti alẹ́ fún oṣù mẹ́fà. Mo gbó lọ́pọ̀lọpọ̀ àti ọkàn mi ń lu yára ní àkókò yẹn.","Predictable diurnal hot flushes with diaphoresis and palpitations consistent with perimenopausal vasomotor symptoms or, if male, carcinoid syndrome, requiring hormonal assessment and twenty-four hour urinary 5-HIAA if male."
"Have you been having any unusual sensitivity to medications, with small doses causing big reactions?","Oògùn tó ń ṣiṣẹ́ fún àwọn ẹlòmíràn ní ìwọ̀n nla máa ń ṣe mí ìyọnu ní iwọ̀n kéékèéké. O ti ṣẹlẹ̀ pẹ̀lú oògùn mẹ́ta tó yàtọ̀.","Unusual drug sensitivity across multiple drug classes suggesting pharmacogenomic variation, hepatic enzyme deficiency, or an underlying autoimmune condition affecting drug metabolism, requiring pharmacogenomic testing."
"Have you been told your vitamin B12 is low, and are you vegetarian or vegan?","Ìdánwò mi fihàn pé B12 mi kéré ní ọdún kan sẹ́yìn. Mo jẹ oúnjẹ tó ń jẹ ewé àti ẹyin nìkan fún ọdún mẹ́fà. Kò sí ẹni tó fún mi ní oògùn.","B12 deficiency in a lacto-ovo vegetarian without supplementation or injection therapy, creating risk of subacute combined degeneration of the spinal cord, requiring intramuscular B12 replacement and dietary counselling."
"Have you been having any episodes of sudden severe vertigo when you first wake up in the morning?","Mo máa ń jí ní àárọ̀ pẹ̀lú orí yípo tó le gan-an. O ń pẹ́ fún ìṣẹ́jú mẹ́wàá lẹ́yìn náà ó máa ń yẹ̀. O ti ń ṣẹlẹ̀ fún ọ̀sẹ̀ méjì.","Morning positional vertigo on first waking consistent with BPPV from posterior semicircular canal canalithiasis, confirming with Dix-Hallpike test and treating with the Epley repositioning manoeuvre."
"Have you been having any pain in your temples or jaw when chewing that is associated with headache?","Ẹrẹ̀kẹ́ mi àti apá ìhà orí mi ń dùn nígbà jíjẹun. Orí mi tún ń fọ̀ lẹ́yìn oúnjẹ. O ti ń ṣẹlẹ̀ fún oṣù méjì.","Jaw claudication with temporal headache on chewing, the pathognomonic symptom of giant cell arteritis requiring immediate high-dose prednisolone to prevent ischaemic stroke and permanent visual loss."
"Have you noticed any loss of your peripheral vision, like wearing blinkers or tunnel vision?","Ìhà ìmọ̀lẹ̀ ojú mi ń dínkù. Mo ń rí dáradára sí iwájú ṣùgbọ́n àwọn nǹkan ní ẹ̀gbẹ́ ti ń sọ̀nù. O ti ń burú sí i fún ọdún méjì.","Progressive concentric visual field constriction over two years consistent with advanced glaucoma or retinitis pigmentosa, requiring urgent Humphrey visual field testing, IOP measurement, and optic disc assessment."
"Have you been having any pain in your shoulder that is worse when you reach behind your back?","Èjìká mi ọ̀tún ń dùn nígbà tí mo bá gbìyànjú láti fi ọwọ́ kan ẹ̀hin mi. Mo kò lè de ìgbádìí bàtà mi. O ti ń ṣẹlẹ̀ fún oṣù mẹ́fà.","Restricted internal rotation with posterior shoulder pain consistent with adhesive capsulitis, posterior rotator cuff tear, or glenohumeral joint pathology requiring shoulder MRI and physiotherapy assessment."
"Have you been experiencing any persistent ringing in your ears after attending a loud concert or using headphones?","Etí mi méjèéjì ti ń rò lẹ́yìn iṣẹ̀lẹ̀ ìró àárọ̀ ní ọ̀sẹ̀ kan sẹ́yìn. Ko tíì lọ. Mo ń lo àwọn headphones ní ìgbà-ìgbà.","Persistent post-acoustic tinnitus following noise exposure consistent with noise-induced cochlear damage requiring audiometry and counselling on hearing protection and avoidance of further noise exposure."
"Have you been having any abdominal pain that is relieved by passing wind or opening your bowels?","Irora ikùn mi máa ń yẹ̀ lẹ́yìn tí afẹ́fẹ́ bá jáde tàbí lẹ́yìn ìgbẹ́. O máa ń wáyé ní gbogbo ọjọ́ fún oṣù mẹ́fà.","Abdominal pain relieved by defecation and flatus consistent with irritable bowel syndrome requiring Rome IV diagnostic criteria assessment, dietary modification with low-FODMAP diet trial, and exclusion of inflammatory bowel disease."
"Have you been told you have asthma, and does your peak flow reading change significantly throughout the day?","Mo ní àrùn ẹ̀gbẹ̀. Ìdánwò ẹ̀gbẹ̀ mi yàtọ̀ ní ọjọ́ kan, díẹ̀ sí i ní owúrọ̀ àti dára ní ọ̀sán. O ti ń ṣẹlẹ̀ ní gbogbo ọjọ́.","Diurnal peak flow variability exceeding twenty percent confirming reversible airflow obstruction consistent with uncontrolled asthma, requiring step-up of inhaled corticosteroid therapy and asthma action plan review."
"Have you been having any pain in your tailbone that is worse when sitting on hard surfaces?","Ìdí mi ń dùn gan-an nígbà tí mo bá jókòó lórí àga líle. O ń yẹ̀ nígbà tí mo bá dúró. O ti ń ṣẹlẹ̀ fún oṣù mẹ́fà.","Coccydynia with pain on hard surface sitting and sitting to standing transition over six months, requiring coccyx X-ray to exclude fracture or subluxation, and tailbone cushion, physiotherapy, and injection therapy."
